Name,Type,Grade,Rating,Location,,,,,,,
Kaleidoscope,Boulder,V2-,2,west virginia>coopers rock state forest>roadside>Warm-Up Boulders,,,,,,,
Between the Trees,Boulder,V2-,3,west virginia>Creek Side Boulders,,,,,,,
Just a Little Guy,Boulder,V2-,2,west virginia>Wheeling,,,,,,,
New High Score,Boulder,V2-3,4,west virginia>Bear Haven,,,,,,,
Dollar Bills,Boulder,V2-3,2.5,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Unknown,Boulder,V2-3,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>D: Cliffside Boulder,,,,,,,
"Prow?, The",Boulder,V2-3,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C4: Front Slabs,,,,,,,
R arete,Boulder,V2-3,1,west virginia>bozoo>bozoo bouldering>entryway boulders>bouldercliff area>Crimper Lameness,,,,,,,
A2,Boulder,V2-3,1.5,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Tall Pine Boulder,,,,,,,
Left Bench,Boulder,V2-3,2,west virginia>bozoo>bozoo bouldering>main area bouldering>C1. The Bench,,,,,,,
Mini Blok,Boulder,V2-3,2,west virginia>bozoo>bozoo bouldering>main area bouldering>C1. The Bench,,,,,,,
Green Block Traverse,Boulder,V2-3,2,west virginia>coopers rock state forest>roadside>Green Block,,,,,,,
Mad Butcher Traverse,Boulder,V2-3,3,west virginia>coopers rock state forest>roadside>Mad Butcher Block,,,,,,,
F2,Boulder,V2+,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>F:Slap'n'Squeeze Boulder,,,,,,,
Gator Skin Right,Boulder,V2+,2.5,west virginia>bozoo>bozoo bouldering>downstream boulderfield>G:Alligator Skin Boulder,,,,,,,
F1,Boulder,V2+,2,west virginia>bozoo>bozoo bouldering>powerline boulders>sloper project area>Cliffline Problems,,,,,,,
O.D.B,Boulder,V2+,2,west virginia>bozoo>bozoo bouldering>project area>The Brain Boulder,,,,,,,
Cooping a feel,Boulder,V2+,3,west virginia>coopers rock state forest>roadside>sunset wall area>Sunset Wall,,,,,,,
No Scope,Boulder,V2+,2,west virginia>coopers rock state forest>roadside>Warm-Up Boulders,,,,,,,
Lost in the Crowd,Boulder,V2+,3,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
Out To Lunch,Boulder,V2+,2,west virginia>coopers rock state forest>upper rock city>Romulus and Remus Area,,,,,,,
Scare Ya Girl,Boulder,V2+,3,west virginia>Wheeling,,,,,,,
Lap Dance,Boulder,V3,1.5,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Pimp,Boulder,V3,3,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
Stripper Pole,Boulder,V3,2,west virginia>Bear Rock Lake Bouldering (Wheeling),,,,,,,
H: Slabwalker,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
Good and Tall,Boulder,V3,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>E: Multi-Dihedral Boulder,,,,,,,
One Flow,Boulder,V3,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>H: Flow Boulder,,,,,,,
Mini 45,Boulder,V3,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C1: Mini 45,,,,,,,
"Chub, The",Boulder,V3,4,"west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C6: Upper Tier, Hermit's Cave",,,,,,,
Squeeze Arete,Boulder,V3,3.5,west virginia>bozoo>bozoo bouldering>entryway boulders>bouldercliff area>The Vulture Roost,,,,,,,
G1,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Boulder G,,,,,,,
Tall Pine,Boulder,V3,3,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Tall Pine Boulder,,,,,,,
Open Book,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>flinger area>Flinger Boulder,,,,,,,
B. Katty Corner,Boulder,V3,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
F. Contact,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
Hershey Traverse,Boulder,V3,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>B. Hershey Boulder,,,,,,,
Kiss of Death,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>main area bouldering>B. Hershey Boulder,,,,,,,
Krackel,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>main area bouldering>B. Hershey Boulder,,,,,,,
Vasectomy Traverse,Boulder,V3,1,west virginia>bozoo>bozoo bouldering>main area bouldering>B. Hershey Boulder,,,,,,,
White Slab,Boulder,V3,1,west virginia>bozoo>bozoo bouldering>main area bouldering>F. Firepole Boulder,,,,,,,
C. Juggy Crack,Boulder,V3,3,west virginia>bozoo>bozoo bouldering>main area bouldering>H. EDucator Boulder,,,,,,,
F2,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>powerline boulders>sloper project area>Cliffline Problems,,,,,,,
Cherise,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>powerline boulders>sloper project area>Sloper Proj Boulder,,,,,,,
Death Row L,Boulder,V3,2.5,west virginia>bozoo>bozoo bouldering>project area>Alcatraz/Fontainzoo/Mattehorn,,,,,,,
Right Cell,Boulder,V3,3,west virginia>bozoo>bozoo bouldering>project area>Alcatraz/Fontainzoo/Mattehorn,,,,,,,
Pennsylvania Ed,Boulder,V3,3.5,west virginia>bozoo>bozoo bouldering>project area>Lyman's Boulder,,,,,,,
Lizard King,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>project area>The Brain Boulder,,,,,,,
Project Boulder Arete,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>project area>The Project Boulder,,,,,,,
Pyramid Left Arete,Boulder,V3,2,west virginia>bozoo>bozoo bouldering>zion>The Pyramids,,,,,,,
Mushroom,Boulder,V3,2.5,west virginia>coopers rock state forest>Picnic Table (Mushroom Boulder),,,,,,,
